Category,Feature,Description,Status,Priority,Notes
Onboarding,Name input,User enters their name,Built,P0,
Onboarding,Date of birth,Calculates zodiac and compatibility,Built,P0,
Onboarding,Age verification,"DOB-driven gate: <13 blocked, 13-17 friendship-only, 18+ confirm",Built,P0,lib/age.js; locks ageGroup to DOB
Onboarding,Energy/vibe,Multi-select personality energy,Built,P0,
Onboarding,Communication style,Multi-select how they communicate,Built,P0,
Onboarding,Occupation,Free text work description,Built,P0,
Onboarding,Relationship status,Multi-select current situation,Built,P0,
Onboarding,Love language,Multi-select love languages,Built,P0,
Onboarding,Emotional needs,What they wish they had more of,Built,P0,
Onboarding,Social identity,How friends describe them,Built,P0,
Onboarding,Activities (15 options),Multi-select hobbies and interests,Built,P0,
Onboarding,Activity subcategories,Drill-down genres/types per activity,Built,P0,Optional
Onboarding,Cuisines loved,Multi-select favorite food types,Built,P0,
Onboarding,Cuisines disliked,Multi-select foods to avoid,Built,P0,Companions never suggest these
Onboarding,Dietary restrictions,Multi-select dietary needs,Built,P0,
Onboarding,Favorite movies/shows,Free text entertainment preferences,Built,P0,
Onboarding,Favorite music artists,Free text music preferences,Built,P0,
Onboarding,Back navigation,Go back to change any answer,Built,P0,Pre-populates previous answers
Onboarding,Skippable steps,Multi-selects can be skipped (Skip at zero),Built,P0,NEW
Onboarding,Resumable onboarding,Draft persists across refresh,Built,P1,NEW; localStorage draft
Onboarding,Edit profile after onboarding,Change name/DOB/prefs without reset,Built,P1,"NEW; Settings > Edit profile, re-derives astrology"
Zodiac System,Western zodiac,Sun sign from birthdate,Built,P0,
Zodiac System,Chinese zodiac,Animal + element from birth year,Built,P0,
Zodiac System,Numerology life path,Life path number calculation,Built,P0,
Zodiac System,Vedic/sidereal astrology,Approximate moon rashi + nakshatra,Built,P1,"UPDATED Future->Built; approximate, on reveal+prompt"
Zodiac System,Compatibility matching,Companions get compatible signs,Built,P0,
Zodiac System,Zodiac reveal screen,Animated profile presentation,Built,P0,
Companion Gen,Surprise Me path,Pure zodiac-based generation,Built,P0,
Companion Gen,Guide Me builder,Grouped multi-select trait seeds,Built,P0,2 screens
Companion Gen,Optional free text,Additional vibe description,Built,P0,
Companion Gen,Waking up sequence,Companions discover themselves live,Built,P0,
Companion Gen,Self-naming,Companions choose their own names,Built,P0,
Companion Gen,Self-pronouns,Companions choose he/she/they,Built,P0,
Companion Gen,Color identity,Distinct color per companion,Built,P0,8-color palette
Companion Gen,Companion selection,Choose 1 (free) or all 3 (trial),Built,P0,
Companion Gen,"""Older"" presentation",Companions present as older for 18+,Built,P1,UPDATED Future->Built; apparentAge in companions.js
Builder Traits,Demeanor / Energy / Humor / Depth / Social,Personality trait seeds,Built,P0,
Builder Traits,Romantic energy,Slow burn etc.,Built,P0,Filtered for under 18
Builder Traits,Protectiveness / Communication / Archetype / Interest,Relationship trait seeds,Built,P0,Romantic archetype filtered <18
Chat System,Group chat,All awake companions participate,Built,P0,
Chat System,Private one-on-one,Truly private from other companions,Built,P0,
Chat System,Companion-initiated chat,Returning welcome + unprompted idle thoughts,Built,P1,UPDATED Future->Built; NEW proactive
Chat System,Companion disagreements,"Companions disagree, own opinions",Built,P0,
Chat System,Cross-referencing,Companions react to each other in-turn,Built,P0,Sequential w/ typing indicator
Chat System,Ambient conversations,"Personality + bond-aware, regenerated each open",Built,P0,lib/relationships.js
Chat System,Directed messages,Aim a message at one companion (@name / tap),Built,P1,NEW
Chat System,Conversation search,"Search history, highlight matches",Built,P1,NEW
Chat System,Call by name (voice),Say companion name to open private,Built,P0,+ toggle to disable
Chat System,Auto-speak mode,Companions speak messages aloud,Built,P0,
Chat System,Per-companion voice customization,"Pick voice + tone, live preview",Built,P1,NEW; lib/voice.js
Chat System,Speaker button per message,Tap to hear any message,Built,P0,
Chat System,Natural (AI) voices,ElevenLabs via /tts proxy,Partial,P1,"UPDATED; wired, needs key (VITE_NATURAL_VOICE)"
Companion Dynamics,Autonomous personality,"Own likes, dislikes, opinions",Built,P0,
Companion Dynamics,Personality evolution,Mood/familiarity/bond -> prompt,Built,P0,UPDATED Partial->Built; lib/evolution.js + cloud
Companion Dynamics,Companion relationships,Bonds + storylines between companions,Built,P1,UPDATED Partial->Built; persisted bonds
Companion Dynamics,Sleep mode,User puts companions to sleep,Built,P0,
Companion Dynamics,Status awareness,Companions know who is awake/sleeping,Built,P0,
Companion Dynamics,Companion deletion,Permanent removal + in-app confirm,Built,P0,Remaining companions mourn
Companion Dynamics,Companion replacement,Summon a new companion after deletion,Built,P1,UPDATED Future->Built; free if none owned else unlock
